,Name,coef,pvalue,pcorr,FDR<0.05
0,YOR335C,0.7666666666666667,0.01594401657897401,0.015219288552657008,True
1,YDR341C,-0.65,0.05807305801714863,0.03387595051000337,True
2,YHR019C,0.5833333333333334,0.09918581647988323,0.0520725536519387,False
3,YLL018C,-0.6833333333333333,0.04244227208707231,0.03272537006083086,True
4,YNL247W,0.9333333333333332,0.00023589981215941676,0.0012384740138369381,True
5,YOR168W,0.9166666666666666,0.0005066190663052084,0.0013298750490511723,True
6,YGL245W,0.8499999999999999,0.0037047773275858133,0.004322240215516782,True
7,YBR121C,0.7666666666666667,0.01594401657897401,0.015219288552657008,True
8,YBL076C,0.6,0.0876228290414024,0.04842314236498552,True
9,YPL160W,0.9,0.0009430623223403293,0.0016503590640955764,True
10,YDR037W,0.65,0.05807305801714863,0.03387595051000337,True
11,YGR264C,0.9166666666666666,0.0005066190663052084,0.0013298750490511723,True
12,YFL022C,0.8666666666666667,0.0024953982859902053,0.003743097428985308,True
13,YLR060W,0.9333333333333332,0.00023589981215941676,0.0012384740138369381,True
14,YHR020W,0.9,0.0009430623223403293,0.0016503590640955764,True
15,YDR023W,0.6666666666666667,0.04986723056888511,0.03272537006083086,True
16,YHR011W,0.0,1.0,0.5,False
17,YIL078W,0.6666666666666667,0.04986723056888511,0.03272537006083086,True
18,YOL097C,0.8499999999999999,0.0037047773275858133,0.004322240215516782,True
19,YGR185C,0.6666666666666667,0.04986723056888511,0.03272537006083086,True
20,YGR094W,0.7166666666666667,0.029818035695845287,0.02609078123386463,True
